A településrészek részletes adatai,,,,,,,,,,
,,,,,,,,,,
Helység KSH kód,Helység hivatalos megnevezése,Vármegye megnevezése,Településrész megnevezése,Településrész jelleg kód,Postai irányító-szám,A külterület települési jellege,A településrész távolsága a központi belterülettől,A népszámlálási lakónépesség,A lakások száma,Lakott egyéb lakóegységek száma
13851,Csertő,Baranya,Csertő vasútállomás,02,7900,Lh.,2.6,,,
13851,Csertő,Baranya,Központi belterület,00,7900,,,364,164,0
13851,Csertő,Baranya,Szőlőhegy,02,7900,Mgl.,3.1,12,7,0
24642,Csesznek,Veszprém,Gézaháza,02,8419,Szál.,4.0,,4,0
24642,Csesznek,Veszprém,Imremajor,02,8420,Kt.,7.0,8,2,0
24642,Csesznek,Veszprém,Károlyháza,02,8419,Szál.,3.0,,,
24642,Csesznek,Veszprém,Központi belterület,00,8419,,,447,221,0
24642,Csesznek,Veszprém,Külterület,02,8419,Mgl.,0.8,1,1,0
24642,Csesznek,Veszprém,Porva-Csesznek vasútállomás,02,8420,Forg.,5.0,,,
02583,Csesztreg,Zala,Kerkaújfalu,01,8973,,1.2,32,25,0
02583,Csesztreg,Zala,Központi belterület,00,8973,,,767,337,0
20145,Csesztve,Nógrád,Bakópuszta,01,2678,,1.0,48,31,0
20145,Csesztve,Nógrád,Galibapuszta,02,2678,Mgl.,3.4,5,3,0
20145,Csesztve,Nógrád,Kincsempuszta,02,2678,Üd.,5.4,22,17,0
20145,Csesztve,Nógrád,Központi belterület,00,2678,,,267,128,0
31699,Csetény,Veszprém,Központi belterület,00,8417,,,"1,786",703,0
18476,Csévharaszt,Pest,Erdészet,02,2212,Mgl.,1.0,15,6,0
18476,Csévharaszt,Pest,Farkasordítódűlő,02,2212,Mgl.,7.0,1,1,0
18476,Csévharaszt,Pest,II. külterület,02,2212,Lh.,4.0,16,7,0
18476,Csévharaszt,Pest,Központi belterület,00,2212,,,"1,937",710,0
18476,Csévharaszt,Pest,Külterület,02,2212,Szál.,2.0,33,8,0
18476,Csévharaszt,Pest,Nyáregyházi köz,02,2212,Mgl.,2.0,15,9,0
18476,Csévharaszt,Pest,Nyáregyházi út,02,2212,Mgl.,2.0,6,5,0
18476,Csévharaszt,Pest,Wekerletelep,02,2212,Mgl.,2.0,20,11,0
11998,Csibrák,Tolna,Békésitanyák,02,7225,Lh.,1.0,,,
11998,Csibrák,Tolna,Erdészház,02,7225,Őh.,2.0,3,1,0
11998,Csibrák,Tolna,Kaszatanyák,02,7225,Lh.,2.0,,,
11998,Csibrák,Tolna,Központi belterület,00,7225,,,271,125,0
15699,Csikéria,Bács-Kiskun,Bukti sor,02,6424,Lh.,3.2,27,33,0
15699,Csikéria,Bács-Kiskun,Hunyadi sor,02,6424,Lh.,1.0,18,20,0
15699,Csikéria,Bács-Kiskun,Kelebiadűlő,02,6424,Lh.,2.4,3,2,0
15699,Csikéria,Bács-Kiskun,Központi belterület,00,6424,,,591,364,0
15699,Csikéria,Bács-Kiskun,Piri sor,02,6424,Lh.,3.2,,2,0
15699,Csikéria,Bács-Kiskun,Sebesics sor,02,6424,Lh.,1.7,5,10,0
15699,Csikéria,Bács-Kiskun,Simity sor,02,6424,Lh.,5.5,1,3,0
15699,Csikéria,Bács-Kiskun,Tavankúti sor,02,6424,Lh.,2.7,10,13,0
30094,Csikóstőttős,Tolna,Központi belterület,00,7341,,,741,354,0
13505,Csikvánd,Győr-Moson-Sopron,Központi belterület,00,9127,,,487,223,0
34111,Csincse,Borsod-Abaúj-Zemplén,Központi belterület,00,3442,,,506,212,0
34111,Csincse,Borsod-Abaúj-Zemplén,Vasúti őrházak,02,3442,Forg.,2.0,,,
26064,Csipkerek,Vas,Béke utca,02,9836,Lh.,1.6,11,17,0
26064,Csipkerek,Vas,Fitanya,02,9836,Kt.,1.5,,,
26064,Csipkerek,Vas,Központi belterület,00,9836,,,363,211,0
05050,Csitár,Nógrád,Központi belterület,00,2673,,,286,141,0
05050,Csitár,Nógrád,Nógrádgárdony,01,2673,,2.0,92,52,0
05333,Csobád,Borsod-Abaúj-Zemplén,Csobád vasútállomás,02,3848,Lh.,1.0,,,
05333,Csobád,Borsod-Abaúj-Zemplén,Központi belterület,00,3848,,,653,259,0
05333,Csobád,Borsod-Abaúj-Zemplén,Szederliget,02,3848,Mgl.,1.0,1,1,0
20774,Csobaj,Borsod-Abaúj-Zemplén,Központi belterület,00,3927,,,609,324,1
06822,Csobánka,Pest,Csobánkai külterület,02,2014,Mgl.,4.0,4,2,0
06822,Csobánka,Pest,Központi belterület,00,2014,,,"3,278","1,138",0
06822,Csobánka,Pest,Lovastanya,02,2014,Kt.,4.5,1,2,0
06822,Csobánka,Pest,Szociális foglalkoztató,02,2014,Szo.,1.0,6,1,0
06822,Csobánka,Pest,Zártkert,02,2014,Üd.,0.5,273,106,0
21908,Csókakő,Fejér,Aranyhegy,02,8074,Üd.,2.0,23,10,0
21908,Csókakő,Fejér,Központi belterület,00,8074,,,"1,537",611,0
21908,Csókakő,Fejér,Látóhegy,02,8074,Üd.,2.3,15,8,0
21908,Csókakő,Fejér,Magyalos,02,8074,Üd.,2.5,3,3,0
05971,Csokonyavisonta,Somogy,Alexanderpuszta,02,7555,Mgl.,6.0,10,4,0
05971,Csokonyavisonta,Somogy,Babócsai út,02,7555,Lh.,1.0,5,2,0
05971,Csokonyavisonta,Somogy,Fürdő-üdülőtelep,01,7555,,0.5,76,61,0
05971,Csokonyavisonta,Somogy,Hobbiszőlőhegy,02,7555,Üd.,2.5,4,4,1
05971,Csokonyavisonta,Somogy,Központi belterület,00,7555,,,"1,316",596,0
05971,Csokonyavisonta,Somogy,Lajosmajor,02,7555,Lh.,2.0,71,23,0
14289,Csokvaomány,Borsod-Abaúj-Zemplén,Gárdonytanya,02,3647,Mgl.,3.0,,1,0
14289,Csokvaomány,Borsod-Abaúj-Zemplén,Gőzmalom,02,3647,Lh.,2.6,7,5,0
14289,Csokvaomány,Borsod-Abaúj-Zemplén,Kismezőpuszta,02,3647,Mgl.,3.8,,,
14289,Csokvaomány,Borsod-Abaúj-Zemplén,Kisomány,02,3647,Kt.,2.0,,,
14289,Csokvaomány,Borsod-Abaúj-Zemplén,Központi belterület,00,3647,,,665,357,0
14289,Csokvaomány,Borsod-Abaúj-Zemplén,Tólápa,02,3647,Lh.,2.5,49,37,0
18926,Csolnok,Komárom-Esztergom,Dorogi út,02,2521,Kt.,1.0,,,
18926,Csolnok,Komárom-Esztergom,Horgásztanyák,02,2521,Üd.,2.0,11,8,0
18926,Csolnok,Komárom-Esztergom,Központi belterület,00,2521,,,"2,966","1,218",0
18926,Csolnok,Komárom-Esztergom,XII. akna,01,2521,,2.5,126,52,0
12025,Csólyospálos,Bács-Kiskun,Alsócsólyos,02,6135,Mgl.,4.0,148,90,0
12025,Csólyospálos,Bács-Kiskun,Alsópálos,02,6135,Mgl.,5.0,201,138,0
12025,Csólyospálos,Bács-Kiskun,Felsőcsólyos,02,6135,Mgl.,4.0,160,128,0
12025,Csólyospálos,Bács-Kiskun,Felsőpálos,02,6135,Mgl.,4.0,101,93,0
12025,Csólyospálos,Bács-Kiskun,Központi belterület,00,6135,,,943,444,0
08040,Csoma,Somogy,Központi belterület,00,7253,,,414,178,0
08040,Csoma,Somogy,Szőlőhegy,02,7253,Kt.,3.0,,,
33118,Csomád,Pest,Központi belterület,00,2161,,,"1,054",392,0
33118,Csomád,Pest,Külterület,02,2161,Lh.,2.0,44,20,0
33118,Csomád,Pest,Lestyina,01,2161,,2.0,708,259,0
02477,Csombárd,Somogy,Bálintmajor,02,7432,Lh.,1.5,1,1,0
02477,Csombárd,Somogy,Központi belterület,00,7432,,,264,108,0
02477,Csombárd,Somogy,Szőlőhegy,02,7432,Mgl.,1.0,2,1,0
05111,Csongrád,Csongrád-Csanád,Bokros,01,6648,,2.0,875,563,0
05111,Csongrád,Csongrád-Csanád,Bokrospartitanyák,02,6648,Mgl.,4.5,10,18,0
05111,Csongrád,Csongrád-Csanád,Bökény,02,6640,Mgl.,2.5,15,6,0
05111,Csongrád,Csongrád-Csanád,Csongráditanyák,02,6640,Mgl.,7.0,29,19,0
05111,Csongrád,Csongrád-Csanád,Erzsébetiszőlők,02,6648,Mgl.,9.5,75,84,0
05111,Csongrád,Csongrád-Csanád,Félegyházi úti tanyák,02,6640,Mgl.,8.0,19,11,0
05111,Csongrád,Csongrád-Csanád,Gyójaitanyák,02,6648,Mgl.,1.0,20,11,0
05111,Csongrád,Csongrád-Csanád,Halesziszőlők,02,6640,Mgl.,7.0,80,67,0
05111,Csongrád,Csongrád-Csanád,Kilences,02,6640,Mgl.,6.0,57,55,0
05111,Csongrád,Csongrád-Csanád,Kisrét,02,6640,Mgl.,2.7,138,27,0
05111,Csongrád,Csongrád-Csanád,Kónyaszék,02,6640,Mgl.,5.0,173,145,0
05111,Csongrád,Csongrád-Csanád,Központi belterület,00,6640,,,"13,445","6,985",0
05111,Csongrád,Csongrád-Csanád,Mámairét,02,6640,Mgl.,8.0,54,91,0
05111,Csongrád,Csongrád-Csanád,Nagyrét,02,6640,Mgl.,6.0,43,90,0
05111,Csongrád,Csongrád-Csanád,Öregszőlők,02,6640,Mgl.,4.3,264,151,6
05111,Csongrád,Csongrád-Csanád,Patikaitanyák,02,6640,Mgl.,2.1,116,70,0
05111,Csongrád,Csongrád-Csanád,Szántó,02,6640,Mgl.,3.2,116,73,0
31149,Csonkahegyhát,Zala,Faluvég,02,8918,Lh.,0.5,1,1,0
31149,Csonkahegyhát,Zala,Hármashatár út,02,8918,Mgl.,1.0,4,1,0
31149,Csonkahegyhát,Zala,Ján-hegy,02,8918,Mgl.,1.0,1,3,0
31149,Csonkahegyhát,Zala,Központi belterület,00,8918,,,318,137,0
31149,Csonkahegyhát,Zala,Téglagyárirész,02,8991,Lh.,1.0,,2,0
22576,Csonkamindszent,Baranya,Fűztelep,02,7940,Üszl.,1.0,5,1,0
22576,Csonkamindszent,Baranya,Központi belterület,00,7940,,,177,61,0
02185,Csopak,Veszprém,Benedűlő,02,8229,Lh.,0.6,46,23,0
02185,Csopak,Veszprém,Berekhát,02,8229,Lh.,0.5,,,
02185,Csopak,Veszprém,Falukertje,02,8229,Lh.,1.0,11,12,0
02185,Csopak,Veszprém,Harasztidűlő,02,8229,Lh.,2.5,5,2,0
02185,Csopak,Veszprém,Hegyalja,02,8229,Lh.,1.3,22,19,0
02185,Csopak,Veszprém,Kerekedidűlő,02,8229,Lh.,2.5,,4,0
02185,Csopak,Veszprém,Kertmög,02,8229,Lh.,0.5,11,3,0
02185,Csopak,Veszprém,Kishegy,02,8229,Lh.,0.4,16,12,0
02185,Csopak,Veszprém,Kishegy-Csákányhegy,02,8229,Lh.,0.9,18,7,0
02185,Csopak,Veszprém,Központi belterület,00,8229,,,"1,835",976,0
02185,Csopak,Veszprém,Nádaskút,01,8229,,2.0,46,24,0
02185,Csopak,Veszprém,Nagykútidűlő,02,8229,Lh.,1.3,29,23,0
02185,Csopak,Veszprém,Nagykútidűlő-Benedűlő,02,8229,Lh.,1.0,47,24,0
02185,Csopak,Veszprém,Nosztorivölgy,02,8229,Lh.,2.0,,,
02185,Csopak,Veszprém,Öreghegy,02,8229,Üd.,1.5,,,
02185,Csopak,Veszprém,Sárdirét,02,8229,Forg.,1.0,,,
09779,Csór,Fejér,Ágnesmajor,02,8041,Kt.,3.0,,,
09779,Csór,Fejér,Belátószőlőhegy,02,8041,Üd.,0.8,148,106,0
09779,Csór,Fejér,Iszkaszőlőhegy,02,8041,Üd.,5.0,136,155,0
09779,Csór,Fejér,Központi belterület,00,8041,,,"1,673",643,0
09779,Csór,Fejér,Merítőpuszta,02,8041,Mgl.,5.0,1,1,0
09779,Csór,Fejér,Vendeldűlő,02,8041,Mgl.,2.0,1,1,0
04039,Csorna,Győr-Moson-Sopron,Csatárimajor,01,9300,,5.5,49,28,0
04039,Csorna,Győr-Moson-Sopron,Földsziget,01,9168,,6.7,97,65,0
04039,Csorna,Győr-Moson-Sopron,Központi belterület,00,9300,,,"9,544","4,267",0
04039,Csorna,Győr-Moson-Sopron,Malomföld,02,9300,Szál.,5.5,8,3,0
04039,Csorna,Győr-Moson-Sopron,Nyírkahanyi őrház,02,9168,Őh.,0.0,,,
26709,Csorvás,Békés,Központi belterület,00,5920,,,"4,374","2,236",0
26709,Csorvás,Békés,Tanyák,02,5920,Mgl.,6.0,58,93,0
32878,Csót,Veszprém,Járóháza,02,8558,Mgl.,2.5,,,
32878,Csót,Veszprém,Központi belterület,00,8558,,,894,358,0
32878,Csót,Veszprém,Újmajor,02,8558,Mgl.,4.0,8,3,0
27492,Csöde,Zala,Felsőcsöde,01,8999,,3.0,32,28,0
27492,Csöde,Zala,Központi belterület,00,8999,,,40,26,0
27492,Csöde,Zala,Pácodpuszta,02,8999,Lh.,3.0,,2,0
32814,Csögle,Veszprém,Központi belterület,00,8495,,,550,295,0
12450,Csökmő,Hajdú-Bihar,Cirkópuszta,02,4145,Mgl.,4.0,,1,0
12450,Csökmő,Hajdú-Bihar,Csíkéri gátőrház,02,4145,Őh.,4.2,,,
12450,Csökmő,Hajdú-Bihar,Kóróssziget,02,4145,Lh.,4.0,51,53,0
12450,Csökmő,Hajdú-Bihar,Központi belterület,00,4145,,,"1,709",786,0
24314,Csököly,Somogy,Központi belterület,00,7526,,,955,388,0
27270,Csömend,Somogy,Erdészlak,02,8700,Őh.,1.0,1,1,0
27270,Csömend,Somogy,Központi belterület,00,8700,,,276,132,0
29364,Csömödér,Zala,Központi belterület,00,8957,,,590,261,0
29364,Csömödér,Zala,Vasúti őrház,02,8957,Forg.,0.5,2,1,0
22804,Csömör,Pest,Bócsiház,02,2141,Lh.,2.2,4,2,0
22804,Csömör,Pest,Határ út,01,2141,,2.0,53,14,0
22804,Csömör,Pest,Kerepesihatár,02,2143,Mgl.,2.5,37,12,0
22804,Csömör,Pest,Középhegy,02,2141,Mgl.,2.0,919,352,1
22804,Csömör,Pest,Központi belterület,00,2141,,,"8,418","2,900",0
22804,Csömör,Pest,Majorszegidűlő,01,2141,,3.0,475,132,0
22804,Csömör,Pest,Majorszegiliget,01,2141,,1.5,651,210,0
22804,Csömör,Pest,Nándormajor,02,2141,Mgl.,2.0,3,1,0
22804,Csömör,Pest,Újhegy,02,2141,Mgl.,2.2,20,6,0
22390,Csönge,Vas,Központi belterület,00,9513,,,355,192,0
33978,Csörnyeföld,Zala,Központi belterület,00,8873,,,359,201,0
33978,Csörnyeföld,Zala,Külterület,02,8873,Mgl.,2.0,12,4,1
34333,Csörög,Pest,Gerinczitanya,02,2135,Kt.,2.0,6,3,0
34333,Csörög,Pest,Kecskerágó,02,2135,Mgl.,3.0,137,51,0
34333,Csörög,Pest,Központi belterület,00,2135,,,"1,982",692,1
04224,Csörötnek,Vas,Központi belterület,00,9962,,,794,326,0
04224,Csörötnek,Vas,Ujjasalja,02,9962,Lh.,2.2,2,1,0
06734,Csősz,Fejér,Központi belterület,00,8122,,,968,373,4
26985,Csővár,Pest,Központi belterület,00,2615,,,609,248,0
26985,Csővár,Pest,Külterület,02,2615,Lh.,1.8,3,2,0
21315,Csurgó,Somogy,Avaspuszta,02,8840,Mgl.,1.5,,,
21315,Csurgó,Somogy,Kökényespuszta,02,8840,Kt.,2.0,,,
21315,Csurgó,Somogy,Központi belterület,00,8840,,,"4,370","2,038",1
21315,Csurgó,Somogy,Szőlőhegy,02,8840,Lh.,0.5,10,12,0
21315,Csurgó,Somogy,Tangazdaság,02,8840,Kt.,2.0,,,
21315,Csurgó,Somogy,Vasúti őrház,02,8840,Kt.,0.5,,,
21315,Csurgó,Somogy,Zrínyitelep,02,8840,Lh.,5.0,7,4,0
10603,Csurgónagymarton,Somogy,Központi belterület,00,8840,,,142,79,0
10603,Csurgónagymarton,Somogy,Vendégház,02,8840,Szál.,1.5,,,
09247,Dabas,Pest,Acsaitanya,02,2370,Lh.,3.0,,,
09247,Dabas,Pest,Alsóbabád,02,2371,Lh.,5.0,32,13,0
09247,Dabas,Pest,Alsóbesnyő,02,2371,Lh.,0.1,7,3,0
09247,Dabas,Pest,Antaltanya,02,2370,Lh.,2.0,,,
09247,Dabas,Pest,Bednáriktanya,02,2370,Lh.,7.0,2,1,0
09247,Dabas,Pest,Belsőmántelek,02,2371,Mgl.,9.0,40,15,0
09247,Dabas,Pest,Betonút,02,2373,Lh.,0.1,60,25,0
09247,Dabas,Pest,Cibakpuszta,02,2371,Lh.,3.0,4,4,0
09247,Dabas,Pest,Csaptanya,02,2370,Mgl.,2.0,,,
09247,Dabas,Pest,Dabasiszőlők,01,2370,,9.0,881,346,1
09247,Dabas,Pest,Hadnagytanya,02,2370,Lh.,0.5,,,
09247,Dabas,Pest,Homok utca,02,2373,Lh.,1.0,6,6,0
09247,Dabas,Pest,Kenderföld,02,2373,Kt.,1.0,,,
09247,Dabas,Pest,Konzervgyáridűlő,02,2373,Kt.,1.5,,,
09247,Dabas,Pest,Központi belterület,00,2370,,,"15,604","6,128",0
09247,Dabas,Pest,Légrádi út,02,2373,Lh.,1.0,14,9,0
09247,Dabas,Pest,Merczeltanya,02,2370,Lh.,7.0,,,
09247,Dabas,Pest,Öregországút,01,2370,,3.0,78,35,0
09247,Dabas,Pest,Örkényi út,02,2373,Lh.,5.8,41,15,0
09247,Dabas,Pest,Presenszkitanya,02,2370,Kt.,0.2,,,
09247,Dabas,Pest,Sári-Besnyő,01,2371,,6.0,474,170,0
09247,Dabas,Pest,Sáriszőlők,02,2371,Kt.,1.0,,,
09247,Dabas,Pest,Segesvári út,02,2373,Lh.,5.0,133,50,0
09247,Dabas,Pest,Szabadság út,02,2370,Lh.,0.3,8,3,0
09247,Dabas,Pest,Szívóstanya,02,2370,Kt.,3.5,,,
09247,Dabas,Pest,Szőlőhegy,01,2373,,1.3,86,34,0
09247,Dabas,Pest,Vasúti őrház,02,2373,Kt.,2.0,,,
09247,Dabas,Pest,Zlinszkytanya,02,2370,Üszl.,0.4,,,
17172,Dabronc,Veszprém,Központi belterület,00,8345,,,371,161,0
17172,Dabronc,Veszprém,Ötvös,01,8345,,2.5,42,22,0
28237,Dabrony,Veszprém,Központi belterület,00,8485,,,385,187,0
28237,Dabrony,Veszprém,Malom utca,02,8485,Lh.,0.6,,,
28237,Dabrony,Veszprém,Petőfi utca,02,8485,Lh.,0.3,,,
33163,Dad,Komárom-Esztergom,Központi belterület,00,2854,,,988,374,0
22910,Dág,Komárom-Esztergom,Binderpuszta,02,2522,Kt.,3.0,,,
22910,Dág,Komárom-Esztergom,Kiscsévpuszta,01,2522,,2.5,,,
22910,Dág,Komárom-Esztergom,Központi belterület,00,2522,,,935,408,0
20154,Dáka,Veszprém,Arany János út,02,8592,Lh.,1.1,7,6,0
20154,Dáka,Veszprém,Kispodárpuszta,02,8484,Mgl.,5.0,,1,0
20154,Dáka,Veszprém,Központi belterület,00,8592,,,647,158,0
20154,Dáka,Veszprém,Ötház,02,8484,Lh.,7.7,4,1,0
29230,Dalmand,Tolna,Alsóleperd,02,7200,Mgl.,5.0,154,64,0
29230,Dalmand,Tolna,Felsőleperd,02,7200,Mgl.,4.0,,,
29230,Dalmand,Tolna,Halház,02,7200,Mgl.,6.0,,,
29230,Dalmand,Tolna,Központi belterület,00,7211,,,960,408,0
29230,Dalmand,Tolna,Újdalmand,02,7200,Mgl.,2.0,51,16,0
29230,Dalmand,Tolna,Vörösegyháza,02,7200,Mgl.,3.0,25,11,0
11350,Damak,Borsod-Abaúj-Zemplén,Központi belterület,00,3780,,,217,102,0
11350,Damak,Borsod-Abaúj-Zemplén,Sáppuszta,02,3780,Mgl.,0.0,2,2,0
07719,Dámóc,Borsod-Abaúj-Zemplén,Központi belterület,00,3978,,,242,133,0
07719,Dámóc,Borsod-Abaúj-Zemplén,Őrhegy,02,3978,Lh.,3.0,65,34,0
31811,Dánszentmiklós,Pest,Csetnekitelep,01,2735,,4.5,362,140,0
31811,Dánszentmiklós,Pest,Fülemajor,02,2735,Lh.,2.0,14,5,0
31811,Dánszentmiklós,Pest,II. külterület,02,2735,Lh.,2.5,4,4,0
31811,Dánszentmiklós,Pest,Kereszt sor,02,2735,Lh.,3.0,,,
31811,Dánszentmiklós,Pest,Központi belterület,00,2735,,,"2,191",899,0
31811,Dánszentmiklós,Pest,Mitskymajor,02,2735,Lh.,2.0,1,1,0
31811,Dánszentmiklós,Pest,Wekerlemajor,02,2735,Lh.,5.0,36,17,0
18397,Dány,Pest,Erdészház,02,2118,Őh.,7.5,2,1,0
18397,Dány,Pest,Fácántanya,02,2118,Mgl.,3.5,2,1,0
18397,Dány,Pest,Központi belterület,00,2118,,,"4,111","1,388",0
18397,Dány,Pest,Szentkirály,01,2118,,6.0,267,103,0
18397,Dány,Pest,Tópart,02,2118,Üd.,3.0,184,99,0
15990,Daraboshegy,Vas,Erdészlak,02,9917,Őh.,1.2,,,
15990,Daraboshegy,Vas,Központi belterület,00,9917,,,99,63,0
31352,Darány,Somogy,Központi belterület,00,7988,,,791,327,0
31352,Darány,Somogy,Vasúti őrházak,02,7988,Forg.,2.0,,2,0
18795,Darnó,Szabolcs-Szatmár-Bereg,Központi belterület,00,4737,,,138,63,0
21865,Darnózseli,Győr-Moson-Sopron,Központi belterület,00,9232,,,"1,599",614,0
34342,Daruszentmiklós,Fejér,Katalinhegy,02,2423,Mgl.,1.0,6,6,0
34342,Daruszentmiklós,Fejér,Kisszentmiklós,01,2423,,2.0,452,193,0
34342,Daruszentmiklós,Fejér,Központi belterület,00,2423,,,750,340,0
34342,Daruszentmiklós,Fejér,Rózsadomb,02,2423,Mgl.,2.0,4,1,0
34342,Daruszentmiklós,Fejér,Templomosi út,02,2423,Mgl.,2.0,5,4,0
34342,Daruszentmiklós,Fejér,Virághegy,02,2423,Mgl.,1.0,5,6,0
14678,Darvas,Hajdú-Bihar,Csiffmajor,02,4144,Mgl.,2.5,5,4,0
14678,Darvas,Hajdú-Bihar,Gátőrházak,02,4144,Őh.,1.6,6,3,0
14678,Darvas,Hajdú-Bihar,Központi belterület,00,4144,,,465,267,0
10533,Dávod,Bács-Kiskun,Dávoditanyák,02,6524,Mgl.,5.0,4,2,0
10533,Dávod,Bács-Kiskun,Kistérségi vízbázis,02,6524,Üszl.,3.0,,1,0
10533,Dávod,Bács-Kiskun,Központi belterület,00,6524,,,"1,592",925,0
10533,Dávod,Bács-Kiskun,Püspökpuszta,01,6524,,1.0,161,123,0
10533,Dávod,Bács-Kiskun,Üdülőterület,01,6524,,1.5,29,24,0
07320,Debercsény,Nógrád,Központi belterület,00,2694,,,87,52,0
15130,Debrecen,Hajdú-Bihar,Alsójózsa,01,4225,,9.0,"5,161","1,848",0
15130,Debrecen,Hajdú-Bihar,Apafa,02,4014,Mgl.,6.2,128,188,0
15130,Debrecen,Hajdú-Bihar,Bánk,01,4079,,4.5,"1,061",417,1
15130,Debrecen,Hajdú-Bihar,Bánki külterület,02,4079,Mgl.,4.5,387,168,0
15130,Debrecen,Hajdú-Bihar,Bayk András-kert,02,4002,Mgl.,5.7,"3,559","1,685",11
15130,Debrecen,Hajdú-Bihar,Bellegelőkert,02,4002,Mgl.,5.7,"1,016",476,2
15130,Debrecen,Hajdú-Bihar,Biczó István-kert,02,4002,Mgl.,5.0,"5,726","2,577",6
15130,Debrecen,Hajdú-Bihar,Bondorhát,02,4225,Lh.,2.0,,,
15130,Debrecen,Hajdú-Bihar,Csúcs,02,4225,Lh.,2.0,,1,0
15130,Debrecen,Hajdú-Bihar,Dombos,01,4014,,1.5,852,425,0
15130,Debrecen,Hajdú-Bihar,Dombostanya,02,4014,Mgl.,1.5,305,140,0
15130,Debrecen,Hajdú-Bihar,Domokos Márton-kert,02,4002,Mgl.,4.5,827,344,1
15130,Debrecen,Hajdú-Bihar,Fancsika,02,4079,Mgl.,0.0,232,90,0
15130,Debrecen,Hajdú-Bihar,Felsőjózsa,01,4225,,9.0,"6,523","2,390",0
15130,Debrecen,Hajdú-Bihar,Gáspár György-kert,02,4002,Mgl.,7.5,243,126,0
15130,Debrecen,Hajdú-Bihar,Haláp,01,4078,,4.0,382,148,0
15130,Debrecen,Hajdú-Bihar,Halápi külterület,02,4078,Mgl.,4.0,489,231,0
15130,Debrecen,Hajdú-Bihar,Kismacs,01,4002,,4.0,441,178,0
15130,Debrecen,Hajdú-Bihar,Központi belterület,00,4000,,,"167,462","86,295",3
15130,Debrecen,Hajdú-Bihar,Mészáros Gergely-kert,02,4002,Mgl.,5.8,206,86,0
15130,Debrecen,Hajdú-Bihar,Nagy Mihály-kert,02,4002,Mgl.,4.9,171,66,1
15130,Debrecen,Hajdú-Bihar,Nagycsere,01,4002,,3.5,305,146,0
15130,Debrecen,Hajdú-Bihar,Nagycserei külterület,02,4002,Mgl.,3.5,450,207,1
15130,Debrecen,Hajdú-Bihar,Nagymacs,01,4063,,0.0,882,333,0
15130,Debrecen,Hajdú-Bihar,Ondód,01,4002,,3.3,750,257,0
15130,Debrecen,Hajdú-Bihar,Ondódi külterület,02,4002,Mgl.,2.5,124,57,0
15130,Debrecen,Hajdú-Bihar,Pac,02,4079,Mgl.,8.0,112,50,1
15130,Debrecen,Hajdú-Bihar,Pallag,01,4014,,2.0,"1,006",376,0
15130,Debrecen,Hajdú-Bihar,Pallagi külterület,02,4014,Mgl.,9.5,71,26,0
15130,Debrecen,Hajdú-Bihar,Szepes,02,4002,Mgl.,0.0,236,88,0
15130,Debrecen,Hajdú-Bihar,Szikigyakor,02,4014,Mgl.,8.9,692,399,6
15130,Debrecen,Hajdú-Bihar,Tornyostanya,02,4014,Mgl.,1.7,59,37,0
15130,Debrecen,Hajdú-Bihar,Verébdűlő,02,4002,Mgl.,0.0,,1,0
31954,Debréte,Borsod-Abaúj-Zemplén,Központi belterület,00,3825,,,9,29,0
24989,Decs,Tolna,Alföldszállás,02,7144,Mgl.,9.2,2,2,0
24989,Decs,Tolna,Cserenc,02,7144,Őh.,4.8,2,1,0
24989,Decs,Tolna,Gyöngyösoldal,02,7144,Kt.,7.6,1,1,0
24989,Decs,Tolna,Kesellődűlő,02,7144,Mgl.,2.0,,,
24989,Decs,Tolna,Késmárkidűlő,02,7144,Mgl.,0.4,14,3,0
24989,Decs,Tolna,Központi belterület,00,7144,,,"3,581","1,418",0
24989,Decs,Tolna,Külterület,02,7144,Mgl.,2.3,,,
24989,Decs,Tolna,Lassi,02,7144,Őh.,9.3,,,
24989,Decs,Tolna,Páskom,02,7144,Mgl.,1.2,1,2,0
24989,Decs,Tolna,Petőfitelep,02,7144,Mgl.,3.1,,,
24989,Decs,Tolna,Sárosdűlő,02,7144,Mgl.,6.5,,,
24989,Decs,Tolna,Szivattyútelep,02,7144,Őh.,6.8,3,2,0
24989,Decs,Tolna,Szomfova,02,7144,Őh.,8.0,4,2,0
24989,Decs,Tolna,Szőlőhegy,02,7100,Mgl.,6.0,176,91,1
24989,Decs,Tolna,Túladuna,02,7144,Mgl.,2.0,3,1,0
04686,Dédestapolcsány,Borsod-Abaúj-Zemplén,Bánvölgye,02,3643,Szál.,4.0,4,1,0
04686,Dédestapolcsány,Borsod-Abaúj-Zemplén,Központi belterület,00,3643,,,"1,298",736,0
04686,Dédestapolcsány,Borsod-Abaúj-Zemplén,Várerdőtanya,02,3643,Mgl.,3.0,,1,0
32753,Dég,Fejér,Központi belterület,00,8135,,,"1,958",851,2
32753,Dég,Fejér,Újtelep,01,8135,,4.8,38,26,0
12511,Dejtár,Nógrád,Erdészlak,02,2649,Őh.,1.2,,,
12511,Dejtár,Nógrád,Központi belterület,00,2649,,,"1,242",520,0
12511,Dejtár,Nógrád,Vasút utca,02,2649,Lh.,3.0,111,35,0
09973,Délegyháza,Pest,Csókatanya,02,2337,Mgl.,2.0,58,21,1
