Timestamp,Életkora,Neme,Lakhelyének irányítószáma,Legmagasabb iskolai végzettsége,Hány éve szolgál?,Rendfokozata,Mennyire ismeri vagy használja a drónokat?,Az Ön civil munkaerőpiaci státusza,Az Ön átlagos havi nettó civil keresete (kérjük Magyar Foritban adja meg a kézhez kapott összeget),Az Ön civil munkahelyének mérete (ha alkalmazható),Az Ön civil munkahelyének tulajdonosi jellege (ha alkalmazható),Az Ön civil munkahelyének jogi formája (ha alkalmazható),"A drónok használatával sokkal jobban fel tudjuk deríteni a terepet, és pontosabban látjuk, mi történik körülöttünk.","A drónok megvédik a katonákat, mert nem kell személyesen bemennünk a legveszélyesebb helyzetekbe.","A raj és a szakasz gyorsabban tud dönteni és cselekedni, ha drónok is segítik a feladatot.",A modern eszközök (például a drónok) miatt több fiatal akar majd csatlakozni az önkéntes tartalékosokhoz.,"A jelenlegi, rövid idejű kiképzések alatt nincs elég idő arra, hogy rendesen megtanuljuk a drónok kezelését.","A különböző életkorú katonák nem egyformán értenek a digitális eszközökhöz, és ez gondot okozhat a használat során.","A terepen nehéz megoldani a drónok töltését és folyamatos karbantartását, így nem tudjuk őket megszakítás nélkül használni.",A drónirányítók és a földi csapatok közötti rossz kommunikáció miatt a fontos információk nem jutnak el időben a megfelelő helyre.,A civil életben (hobbiként vagy munkaként) szerzett drónos tudást a sereg nagyon jól és gyorsan tudná használni.,"A drónok miatt új, érdekesebb beosztások jöhetnek létre a tartalékos rendszernél (például drónkezelő).","A civilek jobban elismernék a tartalékosokat, ha látnák, hogy drónokkal segítünk például egy árvízi védekezésben vagy katasztrófánál.",A hazai haditechnikai fejlesztések révén a tartalékosok is könnyebben hozzájuthatnak a legújabb modern eszközökhöz.,Az ellenség zavaróberendezései könnyen használhatatlanná tehetik vagy megzavarhatják az egyszerűbb drónokat a harctéren.,A drónok használata miatt az ellenség könnyebben lehallgathat minket vagy feltörheti a rendszereinket.,"A szigorú légtér- és jogszabályok miatt nehéz lesz engedélyt kapni arra, hogy a terepen, a valóságban is sokat gyakorolhassunk velük.","Ha a katonák túlságosan hozzászoknak a technika nyújtotta kényelemhez, elfelejthetik az alapvető harcászati és tájékozódási szabályokat."
29/07/2026 09:09:48,56,Férfi,3965,Érettségi (középiskola),8,Zászlós,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Alkalmazott / (Köz) Foglalkoztatott / Segítő,100000,Mikrovállalkozás (1–9 fő),Állami-közszféra,Önkormanyzati,7,6,6,6,6,6,4,5,6,6,6,6,6,6,5,2
29/07/2026 09:12:47,53,Nő,3700,Érettségi (középiskola),2,Szakaszvezető,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Alkalmazott / (Köz) Foglalkoztatott / Segítő,0,,,,7,7,7,5,1,7,1,1,7,7,7,7,6,2,7,1
29/07/2026 09:25:32,37,Férfi,3600,Érettségi (középiskola),5,Szakaszvezető,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Alkalmazott / (Köz) Foglalkoztatott / Segítő,380000,Középvállalkozás (50–249 fő),Magyar tulajdonú,KFT (Korlátolt felelősségű társaság),7,7,7,6,7,7,6,2,6,7,5,5,6,4,5,6
29/07/2026 10:44:11,39,Nő,4625,Érettségi (középiskola),1,Közkatona,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Alkalmazott / (Köz) Foglalkoztatott / Segítő,700000,Nagyvállalat (250+ fő),Állami-közszféra,Központi költségvetési szerv,7,7,7,5,7,6,5,4,7,7,6,4,5,2,4,6
29/07/2026 12:13:43,60,Férfi,4300,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",41,Alezredes,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Alkalmazott / (Köz) Foglalkoztatott / Segítő,600000,Nagyvállalat (250+ fő),Állami-közszféra,,6,6,6,6,6,6,6,2,6,6,6,6,6,6,3,3
29/07/2026 12:27:15,52,Nő,4400,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",6,Főhadnagy,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Alkalmazott / (Köz) Foglalkoztatott / Segítő,250000,Mikrovállalkozás (1–9 fő),Magyar tulajdonú,EV (Egyéni vállalkozó),7,7,7,7,4,2,4,4,7,7,7,7,4,4,2,1
29/07/2026 12:44:27,44,Nő,3700,Érettségi (középiskola),2,Szakaszvezető,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Alkalmazott / (Köz) Foglalkoztatott / Segítő,450000,Kisvállalkozás (10–49 fő),Állami-közszféra,KFT (Korlátolt felelősségű társaság),7,7,7,5,5,7,2,1,7,7,7,5,7,7,7,1
29/07/2026 13:18:20,48,Férfi,3980,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",4,Százados,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Inaktív,0,,,,7,5,6,6,6,5,5,4,5,6,5,3,6,3,5,2
29/07/2026 15:35:52,47,Nő,3700,Szakiskola / Szakmunkásképző,3,Szakaszvezető,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Inaktív,0,,,,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,6
29/07/2026 16:47:21,51,Férfi,4524,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",27,Százados,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Inaktív,0,,,,5,6,6,4,4,4,4,2,5,5,5,5,4,3,2,3
30/07/2026 08:45:09,56,Férfi,3795,Érettségi (középiskola),9,Főtörzsőrmester,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Alkalmazott / (Köz) Foglalkoztatott / Segítő,450000,,,,7,7,7,5,7,5,5,4,5,7,6,6,6,5,4,5
30/07/2026 10:22:56,42,Férfi,3423,Érettségi (középiskola),2,Szakaszvezető ,Rendszeresen használok drónt (pl. hobby vagy munka céljából),Alkalmazott / (Köz) Foglalkoztatott / Segítő,700000,Nagyvállalat (250+ fő),Külföldi tulajdonú / Nemzetközi (multi),RT (Részvénytársaság),7,5,7,5,7,7,1,4,7,7,7,5,5,3,7,1
30/07/2026 13:23:06,20,Férfi,3700,Érettségi (középiskola),1,Szakaszvezető ,Rendszeresen használok drónt (pl. hobby vagy munka céljából),Alkalmazott / (Köz) Foglalkoztatott / Segítő,350000,Középvállalkozás (50–249 fő),Magyar tulajdonú,EV (Egyéni vállalkozó),7,5,5,4,4,4,4,4,6,7,7,6,5,4,5,6
30/07/2026 17:46:20,36,Férfi,3976,Általános iskola,2,Szakaszvezető ,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Alkalmazott / (Köz) Foglalkoztatott / Segítő,120000,Mikrovállalkozás (1–9 fő),Magyar tulajdonú,,7,7,7,7,5,5,4,5,6,6,6,7,4,5,6,7
31/07/2026 23:01:31,49,Férfi,4400,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",1,Főhadnagy ,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Egyéni vállalkozó,X,Mikrovállalkozás (1–9 fő),Magyar tulajdonú,EV (Egyéni vállalkozó),7,7,7,5,7,7,5,2,7,7,7,7,7,6,5,1
01/08/2026 18:04:59,55,Férfi,3779,Szakiskola / Szakmunkásképző,1,Szakaszvezető,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Munkanélküli,50000,,,,7,7,7,5,6,5,4,4,7,7,7,5,7,4,4,4
02/08/2026 13:19:24,24,Nő,3743,Érettségi (középiskola),3,Főtörzsőrmester,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Egyéni vállalkozó,400000,Nagyvállalat (250+ fő),Külföldi tulajdonú / Nemzetközi (multi),EV (Egyéni vállalkozó),7,7,7,7,7,7,7,7,7,7,7,7,4,2,4,1
02/08/2026 13:19:25,24,Nő,3700,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",3,Főtörzsőrmester,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Alkalmazott / (Köz) Foglalkoztatott / Segítő,76000,Mikrovállalkozás (1–9 fő),Magyar tulajdonú,KFT (Korlátolt felelősségű társaság),7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
03/08/2026 13:10:41,49,Férfi,4700,Érettségi (középiskola),3,Szakaszvezető ,Rendszeresen használok drónt (pl. hobby vagy munka céljából),Alkalmazott / (Köz) Foglalkoztatott / Segítő,540000,Nagyvállalat (250+ fő),Állami-közszféra,NZRT,7,7,7,7,7,4,1,1,7,7,7,7,7,1,1,1
03/08/2026 15:30:19,23,Férfi,4030,Érettségi (középiskola),4,Főtörzsőrmester ,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Munkanélküli,0,,,,6,4,5,2,7,5,6,3,5,5,4,3,6,4,3,1
04/08/2026 08:05:11,43,Nő,3530,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",2,Főtörzsőrmester,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Alkalmazott / (Köz) Foglalkoztatott / Segítő,600000,Nagyvállalat (250+ fő),Külföldi tulajdonú / Nemzetközi (multi),KFT (Korlátolt felelősségű társaság),7,7,7,5,7,6,5,4,6,5,5,4,5,6,5,4
04/08/2026 15:40:23,56,Férfi,3780,Érettségi (középiskola),1,Szakaszvezető ,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Alkalmazott / (Köz) Foglalkoztatott / Segítő,540000,Kisvállalkozás (10–49 fő),Magyar tulajdonú,Önkormányzat ,7,7,7,7,7,7,3,1,7,7,7,7,7,1,1,4
04/08/2026 18:23:55,22,Nő,7700,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",3,Törzsőrmester,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Munkanélküli,0,,,,6,5,3,2,6,5,3,3,6,6,2,2,3,2,5,5
14/08/2026 11:11:00,27,Férfi,3125,Érettségi (középiskola),7,Főtörzsőrmester,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Egyéni vállalkozó,300000,,,,5,5,7,7,7,5,3,4,6,6,6,4,4,4,4,2
14/08/2026 11:12:47,20,Férfi,1141,Érettségi (középiskola),1,Őrvezető,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Inaktív,200000,Nagyvállalat (250+ fő),Külföldi tulajdonú / Nemzetközi (multi),BT (Betéti társaság),7,5,7,1,7,1,4,1,7,7,4,7,7,4,7,4
14/08/2026 18:55:32,51,Férfi,9783,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",6,Főhadnagy ,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Alkalmazott / (Köz) Foglalkoztatott / Segítő,600000,Nagyvállalat (250+ fő),Állami-közszféra,,7,6,7,5,7,6,5,4,6,7,6,7,5,5,7,4
14/08/2026 19:24:05,48,Férfi,9442,Érettségi (középiskola),8,Zászlós,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Alkalmazott / (Köz) Foglalkoztatott / Segítő,500000,Középvállalkozás (50–249 fő),Magyar tulajdonú,KFT (Korlátolt felelősségű társaság),7,5,7,4,7,7,2,2,7,7,6,1,3,3,1,2
15/08/2026 11:25:41,39,Férfi,6100,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",8,Százados,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Egyéni vállalkozó,400000,Mikrovállalkozás (1–9 fő),Magyar tulajdonú,EV (Egyéni vállalkozó),7,6,7,4,7,7,4,4,5,6,5,3,7,3,6,5
15/08/2026 18:09:05,58,Férfi,3300,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",9,Főtörzsőrmester,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Munkanélküli,50000,,,,7,7,7,7,7,3,5,4,7,7,5,5,7,4,5,7
16/08/2026 12:21:00,19,Férfi,8800,Általános iskola,1,Közkatona,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Inaktív,0,,,,7,7,7,5,6,4,3,2,7,6,5,5,6,2,4,3
16/08/2026 12:21:20,19,Férfi,2089,Általános iskola,1,Őrvezető,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Alkalmazott / (Köz) Foglalkoztatott / Segítő,623000,Nagyvállalat (250+ fő),Állami-közszféra,"MH BHD,",7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7
16/08/2026 12:32:45,49,Férfi,6453,Szakiskola / Szakmunkásképző,2,Szakaszvezető ,Soha nem találkoztam / nem foglalkoztam velük,Alkalmazott / (Köz) Foglalkoztatott / Segítő,360000,Középvállalkozás (50–249 fő),Állami-közszféra,Integr Szoc intézmény,7,7,7,7,7,5,1,1,7,7,7,7,7,1,3,3
16/08/2026 12:36:13,49,Férfi,5400,Szakiskola / Szakmunkásképző,9,Szakaszvezető ,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Alkalmazott / (Köz) Foglalkoztatott / Segítő,700000,Kisvállalkozás (10–49 fő),Magyar tulajdonú,KFT (Korlátolt felelősségű társaság),7,7,7,5,5,6,4,4,7,5,6,5,6,4,2,4
16/08/2026 12:37:03,19,Férfi,6453,Érettségi (középiskola),1,Őrvezető,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Munkanélküli,75000,,,,5,5,6,7,4,7,6,5,6,6,4,5,4,5,6,3
16/08/2026 12:43:06,42,Férfi,2040,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",5,Zászlós,Rendszeresen használok drónt (pl. hobby vagy munka céljából),Társas vállalkozó,1,Kisvállalkozás (10–49 fő),Magyar tulajdonú,KFT (Korlátolt felelősségű társaság),7,7,7,7,7,7,6,7,7,7,7,5,7,3,3,3
16/08/2026 12:53:05,77,Férfi,4100,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",5,Főhadnagy,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Inaktív,400000,,,Nyugdíjas,7,7,7,7,1,4,5,4,5,5,5,7,7,4,5,4
16/08/2026 12:54:35,20,Férfi,3580,Érettségi (középiskola),2,Szakaszvezető ,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Munkanélküli,0,,,,7,7,7,6,7,7,3,5,7,7,7,7,5,3,5,7
16/08/2026 12:54:42,45,Férfi,9500,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",2,Hadnagy,Rendszeresen használok drónt (pl. hobby vagy munka céljából),Alkalmazott / (Köz) Foglalkoztatott / Segítő,X,Mikrovállalkozás (1–9 fő),Magyar tulajdonú,EV (Egyéni vállalkozó),7,6,5,5,6,5,4,5,7,6,5,5,5,5,6,5
16/08/2026 12:55:27,38,Férfi,2030,Érettségi (középiskola),3,Őrmester,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Alkalmazott / (Köz) Foglalkoztatott / Segítő,X,Középvállalkozás (50–249 fő),Magyar tulajdonú,KFT (Korlátolt felelősségű társaság),4,5,5,5,7,5,6,4,4,6,2,2,4,3,5,4
16/08/2026 12:59:18,38,Férfi,8081,Érettségi (középiskola),6,Főtörzsőrmester ,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Inaktív,0,Mikrovállalkozás (1–9 fő),Magyar tulajdonú,KFT (Korlátolt felelősségű társaság),7,5,6,5,5,6,5,2,6,6,5,4,3,4,6,5
16/08/2026 12:59:32,56,Férfi,9177,Érettségi (középiskola),10,Szakaszvezető ,Rendszeresen használok drónt (pl. hobby vagy munka céljából),Inaktív,X,,,,7,7,7,7,7,5,2,2,7,7,7,7,5,5,7,2
16/08/2026 13:07:03,44,Férfi,9793,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",7,Hadnagy,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Alkalmazott / (Köz) Foglalkoztatott / Segítő,950000,Nagyvállalat (250+ fő),Külföldi tulajdonú / Nemzetközi (multi),KFT (Korlátolt felelősségű társaság),7,7,7,7,5,5,4,5,7,7,7,3,6,2,6,6
16/08/2026 13:14:03,50,Nő,1204,Érettségi (középiskola),5,Főtörzsőrmester,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Inaktív,X,Kisvállalkozás (10–49 fő),Magyar tulajdonú,RT (Részvénytársaság),7,7,7,4,7,6,5,4,7,7,4,5,5,1,5,1
16/08/2026 13:17:33,20,Férfi,5534,Szakiskola / Szakmunkásképző,1,Őrvezető ,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Alkalmazott / (Köz) Foglalkoztatott / Segítő,350000,Nagyvállalat (250+ fő),Állami-közszféra,Zrt,7,7,7,7,7,4,1,7,7,7,7,7,4,4,7,7
16/08/2026 13:19:37,27,Férfi,6000,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",4,Őrvezető ,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Inaktív,0,,,,6,7,7,2,7,7,6,3,6,7,4,5,7,5,5,7
16/08/2026 13:21:39,30,Férfi,7039,Érettségi (középiskola),3,Szakaszvezető ,Rendszeresen használok drónt (pl. hobby vagy munka céljából),Inaktív,X,,,,7,7,7,4,5,7,5,5,7,7,7,5,7,3,2,6
16/08/2026 13:23:36,25,Férfi,6900,Szakiskola / Szakmunkásképző,4,Szakaszvezető,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Alkalmazott / (Köz) Foglalkoztatott / Segítő,230000,Középvállalkozás (50–249 fő),Külföldi tulajdonú / Nemzetközi (multi),BT (Betéti társaság),7,7,7,7,7,3,1,1,7,7,7,7,7,4,7,7
16/08/2026 13:25:16,19,Nő,9084,Általános iskola,1,Őrvezető ,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Alkalmazott / (Köz) Foglalkoztatott / Segítő,400000,Nagyvállalat (250+ fő),Magyar tulajdonú,KFT (Korlátolt felelősségű társaság),7,6,6,3,5,6,6,6,7,6,5,3,6,6,5,3
16/08/2026 13:30:00,49,Férfi,2700,Érettségi (középiskola),32,Főtörzszászlós,Rendszeresen használok drónt (pl. hobby vagy munka céljából),Alkalmazott / (Köz) Foglalkoztatott / Segítő,700000,Nagyvállalat (250+ fő),Állami-közszféra,Állami,6,7,6,6,2,3,5,5,7,6,5,5,6,5,3,4
16/08/2026 13:34:22,40,Férfi,3534,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",9,Főhadnagy,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Alkalmazott / (Köz) Foglalkoztatott / Segítő,550000,Nagyvállalat (250+ fő),Állami-közszféra,ZRT,7,7,5,2,7,5,7,6,5,5,2,2,7,4,4,3
16/08/2026 13:42:18,21,Férfi,6720,Érettségi (középiskola),1,Őrvezető ,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Alkalmazott / (Köz) Foglalkoztatott / Segítő,445000,Nagyvállalat (250+ fő),Külföldi tulajdonú / Nemzetközi (multi),ZRT ,7,7,7,4,5,7,3,5,7,7,7,7,7,2,2,3
16/08/2026 13:47:04,38,Férfi,3811,Általános iskola,3,Szakaszvezető ,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Munkanélküli,0,,,,7,7,7,7,7,7,7,7,7,5,7,5,6,7,6,7
16/08/2026 14:07:42,46,Férfi,7623,Érettségi (középiskola),1,Őrvezető ,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Egyéni vállalkozó,400000,Mikrovállalkozás (1–9 fő),Magyar tulajdonú,EV (Egyéni vállalkozó),7,7,7,5,7,5,3,6,6,5,1,5,7,2,3,2
16/08/2026 14:12:02,20,Férfi,5516,Érettségi (középiskola),2,Őrvezető ,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Inaktív,8000,,,,7,7,7,4,7,7,7,5,4,7,7,7,5,4,6,4
16/08/2026 14:13:59,31,Nő,1122,Érettségi (középiskola),0,Őrvezető ,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Alkalmazott / (Köz) Foglalkoztatott / Segítő,300000,Nagyvállalat (250+ fő),Külföldi tulajdonú / Nemzetközi (multi),KFT (Korlátolt felelősségű társaság),6,6,6,7,6,3,3,3,7,7,5,5,5,4,4,5
16/08/2026 14:18:01,40,Nő,9675,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",4,Hadnagy,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Alkalmazott / (Köz) Foglalkoztatott / Segítő,550000,Nagyvállalat (250+ fő),Külföldi tulajdonú / Nemzetközi (multi),KFT (Korlátolt felelősségű társaság),7,7,7,5,7,7,5,5,7,7,6,1,7,7,7,7
16/08/2026 14:23:48,19,Férfi,6500,Érettségi (középiskola),1,Őrvezető,Rendszeresen használok drónt (pl. hobby vagy munka céljából),Alkalmazott / (Köz) Foglalkoztatott / Segítő,300000,Kisvállalkozás (10–49 fő),Magyar tulajdonú,KFT (Korlátolt felelősségű társaság),7,5,5,6,3,5,4,5,7,5,5,6,7,4,3,4
16/08/2026 14:29:38,44,Férfi,6448,Szakiskola / Szakmunkásképző,0,Közkatona,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Inaktív,275000,,,,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,4
16/08/2026 14:32:59,52,Férfi,1046,"Tudományos fokozat (PhD, DLA)",8,Alezredes,Rendszeresen használok drónt (pl. hobby vagy munka céljából),Alkalmazott / (Köz) Foglalkoztatott / Segítő,1800000,Nagyvállalat (250+ fő),Állami-közszféra,RT (Részvénytársaság),7,7,7,7,7,6,4,5,7,6,7,6,5,4,6,4
16/08/2026 14:35:22,41,Férfi,4220,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",1,Közkatona,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Egyéni vállalkozó,450000,Mikrovállalkozás (1–9 fő),Magyar tulajdonú,EV (Egyéni vállalkozó),5,6,5,5,7,6,6,6,5,6,4,4,3,4,3,4
16/08/2026 14:41:51,58,Férfi,8000,Érettségi (középiskola),25,Zászlós,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Társas vállalkozó,250000,Középvállalkozás (50–249 fő),Magyar tulajdonú,KFT (Korlátolt felelősségű társaság),7,7,7,5,5,7,5,1,7,7,7,7,7,1,6,2
16/08/2026 14:58:34,54,Nő,7400,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",1,Őrvezető,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Alkalmazott / (Köz) Foglalkoztatott / Segítő,500000,Nagyvállalat (250+ fő),Állami-közszféra,,6,6,6,5,6,6,5,4,5,6,6,5,5,4,5,4
16/08/2026 15:18:38,45,Nő,2740,Érettségi (középiskola),6,Őrmester,Rendszeresen használok drónt (pl. hobby vagy munka céljából),Alkalmazott / (Köz) Foglalkoztatott / Segítő,300000,,,,7,7,7,7,4,5,5,3,7,7,5,7,7,3,5,1
16/08/2026 15:20:08,22,Nő,2740,Érettségi (középiskola),2,Őrmester ,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Alkalmazott / (Köz) Foglalkoztatott / Segítő,160000,,,,7,7,7,7,7,6,5,5,7,7,5,5,7,4,3,4
16/08/2026 15:21:48,55,Férfi,2030,Érettségi (középiskola),6,Szakaszvezető ,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Alkalmazott / (Köz) Foglalkoztatott / Segítő,500,Nagyvállalat (250+ fő),Magyar tulajdonú,RT (Részvénytársaság),6,6,6,6,6,5,3,3,6,6,6,6,6,5,5,3
16/08/2026 15:23:41,23,Férfi,1202,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",5,Szakaszvezető ,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Alkalmazott / (Köz) Foglalkoztatott / Segítő,1000000,Mikrovállalkozás (1–9 fő),Magyar tulajdonú,KFT (Korlátolt felelősségű társaság),7,5,6,5,7,5,3,4,5,6,4,7,7,4,2,1
16/08/2026 15:35:38,26,Nő,3600,Érettségi (középiskola),0,Közkatona,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Munkanélküli,0,,,,6,7,5,4,7,7,6,4,5,7,6,6,6,6,5,2
16/08/2026 15:37:47,46,Férfi,4110,Szakiskola / Szakmunkásképző,2,Szakaszvezető ,Rendszeresen használok drónt (pl. hobby vagy munka céljából),Alkalmazott / (Köz) Foglalkoztatott / Segítő,1150000,Nagyvállalat (250+ fő),Magyar tulajdonú,KFT (Korlátolt felelősségű társaság),7,7,7,5,7,7,4,7,7,7,7,6,7,3,7,4
16/08/2026 15:45:31,25,Nő,5720,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",6,Hadnagy,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Alkalmazott / (Köz) Foglalkoztatott / Segítő,700000,Nagyvállalat (250+ fő),Magyar tulajdonú,RT (Részvénytársaság),6,6,6,6,6,7,2,5,6,7,5,1,6,2,2,5
16/08/2026 15:50:06,50,Férfi,7940,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",2,Őrmester,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Alkalmazott / (Köz) Foglalkoztatott / Segítő,550000,Nagyvállalat (250+ fő),Állami-közszféra,Zrt,6,4,5,4,4,7,3,4,5,6,6,6,5,3,6,6
16/08/2026 15:54:32,54,Férfi,2051,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",3,Szakaszvezető ,Rendszeresen használok drónt (pl. hobby vagy munka céljából),Társas vállalkozó,1100000,Mikrovállalkozás (1–9 fő),Magyar tulajdonú,KFT (Korlátolt felelősségű társaság),7,7,7,4,7,3,2,7,7,7,7,7,7,1,5,1
16/08/2026 16:12:23,25,Férfi,7400,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",6,Őrmester,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Alkalmazott / (Köz) Foglalkoztatott / Segítő,400000,Mikrovállalkozás (1–9 fő),Magyar tulajdonú,KFT (Korlátolt felelősségű társaság),6,6,6,6,6,7,6,4,6,6,6,6,4,4,4,5
16/08/2026 16:21:53,51,Férfi,1115,Szakiskola / Szakmunkásképző,4,Szakaszvezető ,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Alkalmazott / (Köz) Foglalkoztatott / Segítő,540000,Középvállalkozás (50–249 fő),Külföldi tulajdonú / Nemzetközi (multi),KFT (Korlátolt felelősségű társaság),7,7,6,4,6,5,5,5,6,7,4,4,6,5,1,5
16/08/2026 16:24:00,24,Férfi,3373,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",2,Őrvezető,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Alkalmazott / (Köz) Foglalkoztatott / Segítő,300000,,,,7,7,7,6,5,5,4,2,7,7,6,5,7,2,2,1
16/08/2026 17:28:09,44,Férfi,9072,Érettségi (középiskola),22,Főtörzsőrmester,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Alkalmazott / (Köz) Foglalkoztatott / Segítő,520000,Nagyvállalat (250+ fő),Külföldi tulajdonú / Nemzetközi (multi),KFT (Korlátolt felelősségű társaság),7,6,7,5,5,6,6,4,7,7,7,5,4,3,5,2
16/08/2026 17:42:57,60,Férfi,4220,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",9,Főhadnagy,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Alkalmazott / (Köz) Foglalkoztatott / Segítő,350000,Középvállalkozás (50–249 fő),Állami-közszféra,"Tankerület , oktatás",7,7,7,6,4,5,2,2,6,7,6,6,6,3,1,1
16/08/2026 18:11:14,20,Nő,2151,Szakiskola / Szakmunkásképző,0,Őrvezető ,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Egyéni vállalkozó,X,,,,7,5,6,5,5,4,7,3,5,6,4,6,6,4,5,7
16/08/2026 18:19:58,51,Nő,5200,Érettségi (középiskola),2,Őrvezető ,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Alkalmazott / (Köz) Foglalkoztatott / Segítő,175000,Nagyvállalat (250+ fő),Állami-közszféra,Kormányhivatal,7,7,7,4,7,7,7,5,7,7,7,7,7,7,7,7
